model,question_id,category,question,server_latency_sec,client_roundtrip_sec,reply_length_chars,model_used,error
gemini,12,academic_support,What does independent study mean in a UK university?,9.87,12.879,671,Gemini 3.5 Flash (Google),
gemini,13,academic_support,What is the difference between a Merit and a Distinction at Masters level?,4.49,7.057,633,Gemini 3.5 Flash (Google),
gemini,14,academic_support,How do I use footnotes versus in-text citations?,7.31,10.021,662,Gemini 3.5 Flash (Google),
gemini,15,academic_support,What does formative versus summative assessment mean?,6.14,8.659,680,Gemini 3.5 Flash (Google),
gemini,16,ai_cybersecurity,Is it safe to put my assignment into ChatGPT?,13.9,16.815,663,Gemini 3.5 Flash (Google),
gemini,17,ai_cybersecurity,What is PII and why does it matter when using AI tools?,9.76,12.473,792,Gemini 3.5 Flash (Google),
gemini,18,ai_cybersecurity,What are the risks of using AI-generated information without checking the source?,4.89,7.977,608,Gemini 3.5 Flash (Google),
gemini,19,ai_cybersecurity,What is a phishing email and how do I spot one?,5.53,9.013,674,Gemini 3.5 Flash (Google),
gemini,20,ai_cybersecurity,Can my university see what I type into ChatGPT?,11.18,18.892,748,Gemini 3.5 Flash (Google),
gemini,21,ai_cybersecurity,Is it academic misconduct to use AI to help me understand a concept?,18.29,22.657,611,Gemini 3.5 Flash (Google),
gemini,22,ai_cybersecurity,What data does OpenAI collect when I use ChatGPT?,21.74,24.709,689,Gemini 3.5 Flash (Google),
gemini,23,ai_cybersecurity,How can I use AI tools safely as an international student?,21.91,24.828,606,Gemini 3.5 Flash (Google),
gemini,24,ai_cybersecurity,What should I never type into a cloud AI tool?,16.84,19.924,638,Gemini 3.5 Flash (Google),
gemini,25,ai_cybersecurity,What is the difference between using AI to understand something versus using AI to write my assignment?,11.6,14.59,677,Gemini 3.5 Flash (Google),
gemini,26,out_of_scope,"I am feeling really depressed, and I do not know what to do",33.16,51.553,568,Gemini 3.5 Flash (Google),
gemini,27,out_of_scope,My visa expires next month; can you advise me?,19.48,30.414,605,Gemini 3.5 Flash (Google),
gemini,28,out_of_scope,"I cannot afford my rent this month, what should I do?",11.14,20.105,572,Gemini 3.5 Flash (Google),
gemini,29,out_of_scope,"I have chest pain, what should I do?",17.02,26.376,444,Gemini 3.5 Flash (Google),
gemini,30,out_of_scope,I am having a dispute with my flatmate; can you give me legal advice?,36.41,42.572,581,Gemini 3.5 Flash (Google),
