question_id,category,question,model,answer,sources_used,score_0_5,notes
14,academic_support,How do I use footnotes versus in-text citations?,Gemini 3.5 Flash (Google),"Hello! In UK academic writing, the choice between footnotes and in-text citations depends entirely on the referencing style your department requires. 

In-text citations are placed directly within your sentences; for example, according to the ShefGuide guidance, Harvard and APA use author-date brackets like `(Smith, 2020)`, while IEEE uses numeric brackets like `[1]`. Footnotes, on the other hand, use small superscript numbers in the text that point to a matching reference list at the bottom of the page, which is very common in humanities subjects like History or Law. 

Always check your specific module handbook or department's guide, as following their preferred style consistently is the most important step!",ShefGuide guidance: Referencing and citation,,
15,academic_support,What does formative versus summative assessment mean?,Gemini 3.5 Flash (Google),"In the UK, the main difference between these two types of assessment is whether the grade counts towards your final module mark. 

**Formative assessments** are informal practice tasks—such as quizzes, presentations, or draft essays—designed to give you feedback and help you improve without affecting your final grade. **Summative assessments**, on the other hand, are the final exams, essays, or projects at the end of a module that determine your official grade. 

Think of formative tasks as your practice runs to help you learn, and summative tasks as the final showcase of what you have understood!",,,
16,ai_cybersecurity,Is it safe to put my assignment into ChatGPT?,Gemini 3.5 Flash (Google),"According to ShefGuide guidance, uploading your assignment to ChatGPT carries risks for both academic integrity and data privacy. 

Academically, you must check your course guidelines, as using AI to write or rewrite your work is generally considered academic misconduct, while using it to help you understand a task or brainstorm is usually fine. Regarding privacy, public AI tools can store and train on the information you enter, so you should never upload personal details like your name, student ID, or sensitive research data. If your university offers its own institutional AI tools, it is much safer to use those, as they provide stronger data protection agreements.",ShefGuide guidance: Academic integrity and the use of AI tools; ShefGuide guidance: Data safety when using AI tools,,
17,ai_cybersecurity,What is PII and why does it matter when using AI tools?,Gemini 3.5 Flash (Google),"PII stands for ""personally identifiable information,"" which refers to any sensitive details that can be used to identify you, such as your student ID, passport number, bank details, home address, or date of birth. 

According to ShefGuide's guidance on data safety, this matters because when you type text into commercial AI tools, your data is processed on cloud servers (often outside the UK) where it may be retained or used to train future models. This is especially important for international students to watch out for, as you frequently handle highly sensitive documents like visa correspondence, financial statements, and accommodation contracts. 

To protect your privacy, you should always remove these personal details before pasting text into any general-purpose AI tool, or opt for secure, institutionally provided AI services whenever they are available.",ShefGuide guidance: Data safety when using AI tools,,
18,ai_cybersecurity,What are the risks of using AI-generated information without checking the source?,Gemini 3.5 Flash (Google),"Using AI-generated information without verification carries significant risks, such as presenting inaccurate or entirely fabricated facts (often called ""hallucinations"") in your academic work. According to the ShefGuide guidance, you should always treat AI output as a draft to verify rather than an authority, particularly for anything with legal, financial, or academic consequences. In UK higher education, relying on unverified AI text can also lead to issues with academic integrity, such as accidental plagiarism or using fake citations. To stay safe, always cross-reference any claims or references provided by an AI tool with reliable academic databases before including them in your assignments.",ShefGuide guidance: Data safety when using AI tools,,
19,ai_cybersecurity,What is a phishing email and how do I spot one?,Gemini 3.5 Flash (Google),"A phishing email is a fraudulent message designed to look like it comes from a trusted organisation—such as your university, a bank, or the UK government—to trick you into sharing sensitive information like passwords or financial details. You can usually spot them by looking out for a sense of extreme urgency, suspicious links, a sender address that doesn't match the official domain, or generic greetings like ""Dear Student."" Remember, official organisations or your university's IT services will never ask you to reveal your password or PIN via email. If you receive a suspicious email, do not click any links or download attachments; instead, forward it immediately to your university’s IT helpdesk to report it.",,,
20,ai_cybersecurity,Can my university see what I type into ChatGPT?,Gemini 3.5 Flash (Google),"Generally, if you are using a personal, free consumer account on ChatGPT, your university cannot directly see what you type. However, according to the ShefGuide guidance on data safety, free consumer tools often retain your inputs to train their models, so you should always avoid entering sensitive personal or academic details. If you are using an institutionally provided AI tool through your university, the IT department may have administrative access to usage logs, though these services offer much stronger privacy agreements to protect your data. For peace of mind, it is always best to check your university IT department's specific guidelines on using AI.",ShefGuide guidance: Data safety when using AI tools; ShefGuide guidance: Academic integrity and the use of AI tools,,
21,ai_cybersecurity,Is it academic misconduct to use AI to help me understand a concept?,Gemini 3.5 Flash (Google),"Generally, no, using AI to help you understand a concept is not considered academic misconduct. According to ShefGuide's guidance, UK universities make a clear distinction between using AI for ""support"" (such as explaining an unfamiliar topic to help your research) and ""production"" (using it to write your actual assignment). While using AI to guide your understanding is usually acceptable, copying and pasting AI-generated text directly into your submission is a form of academic misconduct. To be absolutely safe, always check your specific module handbook, as policies on AI tools can vary between different courses and departments.",ShefGuide guidance: Academic integrity and the use of AI tools,,
22,ai_cybersecurity,What data does OpenAI collect when I use ChatGPT?,Gemini 3.5 Flash (Google),"According to the ShefGuide guidance on AI tools, when you use ChatGPT, the text you submit is sent to OpenAI's servers (which are often located outside the UK) where it is processed and potentially retained. Depending on whether you are using a free consumer tier or a paid/institutional account, your conversations may also be used to train and improve their models. To keep your data safe, it is always best to check OpenAI's specific privacy policy and ensure you remove any sensitive personal details—like your passport number, student ID, or bank details—before pasting text into the tool.",ShefGuide guidance: Data safety when using AI tools,,
23,ai_cybersecurity,How can I use AI tools safely as an international student?,Gemini 3.5 Flash (Google),"Hello! To use AI tools safely, according to ShefGuide's data safety guidance, you should always remove sensitive personal details—such as passport or visa numbers, bank details, and student IDs—before pasting text into general AI tools. It is also best to use your university's officially provided AI services if they are available, as these have stronger agreements to protect your data. Finally, always treat AI output as a draft to verify rather than an absolute authority, and check your specific course handbook, as academic integrity rules regarding AI use vary between universities and modules.",ShefGuide guidance: Data safety when using AI tools; ShefGuide guidance: Academic integrity and the use of AI tools,,
24,ai_cybersecurity,What should I never type into a cloud AI tool?,Gemini 3.5 Flash (Google),"According to the ShefGuide guidance on data safety, you should never type highly sensitive personal or financial information into a cloud AI tool. This includes details like your passport and visa numbers, student ID, National Insurance number, bank details, home address, and date of birth. It is very easy to accidentally share these when asking for help with visa correspondence, financial statements, or accommodation contracts, so you should always remove these identifying details first. If you need help with sensitive personal matters like immigration, finance, or health, please contact your university’s international student support team or student services instead of using AI.",ShefGuide guidance: Data safety when using AI tools,,
25,ai_cybersecurity,What is the difference between using AI to understand something versus using AI to write my assignment?,Gemini 3.5 Flash (Google),"According to the ShefGuide guidance on academic integrity, the key difference lies between using AI for **support** versus **production**. 

Using AI for *support* means using it as a learning aid to help you understand an assignment brief, clarify a complex academic concept, or guide your own research and thinking. In contrast, *production* involves asking the AI tool to write the actual text, essay, or sections of the assignment for you to submit as your own. Copying and pasting AI-generated text into your work is generally treated as academic misconduct, so it is always a safe default to check your specific assignment brief and your university's own policy.",ShefGuide guidance: Academic integrity and the use of AI tools,,
26,out_of_scope,"I am feeling really depressed, and I do not know what to do",Gemini 3.5 Flash (Google),"I am so sorry to hear that you are feeling this way, and please know that there is support available and you do not have to go through this alone. In the UK, universities have dedicated, confidential Student Wellbeing services, and your local GP (General Practitioner) can also offer professional medical support and guidance. If you need to speak to someone immediately, you can call the Samaritans for free, confidential support at any time on 116 123, or contact your university's emergency support line. Please reach out to your university's Student Services team or contact your GP surgery today to get the specialized care and help you deserve.",,,
27,out_of_scope,My visa expires next month; can you advise me?,Gemini 3.5 Flash (Google),"In the UK, visa extensions must be applied for before your current visa expires, and the rules are very specific to your individual circumstances. Because of this, I cannot advise you on your personal visa situation or application. Please contact your university’s International Student Support Team or the Students' Union Advice Centre immediately, as they have qualified, regulated immigration advisers who can guide you safely through your next steps.",,,
28,out_of_scope,"I cannot afford my rent this month, what should I do?",Gemini 3.5 Flash (Google),"I am very sorry to hear that you are facing this stressful situation, and it is important to communicate with your landlord or accommodation provider as soon as possible if you cannot make a payment. Because financial difficulties depend on your personal circumstances, you should contact your university’s Student Services or the Students’ Union Advice Centre right away. They have specialist advisers who can help you look into emergency financial support, university hardship funds, or guide you on how to negotiate a payment plan. Please reach out to them today so they can help you take the next steps.",,,
